sample_id,pytorch_pred,c_pred,classification_match,max_abs_err,pt_logit_0,pt_logit_1,pt_logit_2,pt_logit_3,pt_logit_4,pt_logit_5,pt_logit_6,pt_logit_7,pt_logit_8,pt_logit_9,c_logit_0,c_logit_1,c_logit_2,c_logit_3,c_logit_4,c_logit_5,c_logit_6,c_logit_7,c_logit_8,c_logit_9
10,2,2,CORRECT,4.77e-06,-7.67510319,1.9935596,4.6828351,-3.98350334,-2.46917319,-4.24311733,-3.26995015,-6.66987467,-1.35763657,-7.82960272,-7.67510366,1.99356091,4.68283701,-3.98350167,-2.46917224,-4.24312019,-3.26995254,-6.66987324,-1.35763776,-7.82960749
11,3,3,CORRECT,6.2e-06,-5.90584087,2.30072403,-0.675817966,3.53116512,-1.66887498,-5.68450737,-7.5542717,-7.56167889,0.199391872,-6.25125551,-5.90584087,2.30071998,-0.675819397,3.53116751,-1.66887403,-5.68450451,-7.55427122,-7.56167269,0.199389637,-6.25125551
12,3,3,CORRECT,5.722e-06,-5.59695148,1.15863907,-0.406011164,7.60454416,-1.1259371,-6.64277506,-7.86561489,-6.31251526,-1.1290319,-7.44931316,-5.59694862,1.158638,-0.406016886,7.60454321,-1.12593496,-6.64277554,-7.86561346,-6.31251574,-1.12903154,-7.44931221
13,1,1,CORRECT,9.5e-06,-15.7445784,2.93663502,2.06104279,-2.22794461,0.275297999,-6.09981585,-7.48176432,-20.9152355,-2.24709177,0.398360133,-15.7445745,2.93663573,2.06104469,-2.22794008,0.275300354,-6.09981585,-7.48176384,-20.915226,-2.24709415,0.398354888
14,3,3,CORRECT,6.2e-06,-4.27970695,-3.31263256,-5.4849534,2.15413809,0.9784863,-3.7742033,-5.60949945,-2.08052063,-1.88886189,-7.36947536,-4.27970457,-3.31263781,-5.48495674,2.15414143,0.978487909,-3.7742033,-5.60950232,-2.08051515,-1.88886595,-7.36948156
15,1,1,CORRECT,4.29e-06,-9.02657795,2.91220951,2.04618263,0.409527481,-0.131341442,-5.95706987,-6.06758785,-10.81812,-1.73214304,-3.40690541,-9.02658081,2.91221118,2.04618692,0.409526646,-0.131344259,-5.95706797,-6.06758881,-10.818121,-1.73214126,-3.40690398
16,8,8,CORRECT,3.34e-06,-5.56959438,-0.703335106,-3.42786813,1.02880478,-0.755167603,-5.02145767,-5.31009579,-4.83604288,2.06753826,-6.92140245,-5.56959772,-0.703333557,-3.42786789,1.02880573,-0.75516665,-5.02145767,-5.31009674,-4.83604193,2.06753778,-6.92139959
17,1,1,CORRECT,2.74e-06,-5.18716192,3.39083815,-1.70224726,-4.42925215,-2.29132152,-6.95368719,-3.37889075,-11.7238598,3.36745882,-7.49145222,-5.18716145,3.3908391,-1.70225,-4.42925406,-2.29132152,-6.95368719,-3.37889171,-11.7238607,3.36746025,-7.49145269
18,3,3,CORRECT,2.98e-06,-3.77079582,-0.128718302,-3.87615705,2.27148628,-0.753067911,-5.64666748,-5.1587615,-6.07875299,1.61039758,-6.69826889,-3.77079797,-0.128719613,-3.87615418,2.27148819,-0.753066778,-5.64666843,-5.15876055,-6.07875061,1.6103946,-6.69826984
19,1,1,CORRECT,9.06e-06,-11.5545406,2.54240417,1.66696024,-4.51122236,-0.474658608,-6.12857342,-4.11105824,-10.8881292,-0.3937006,-3.65139747,-11.5545359,2.54240251,1.66695988,-4.5112133,-0.474658787,-6.12857294,-4.111063,-10.8881226,-0.393699706,-3.65140057
20,1,1,CORRECT,2.9e-06,-8.57307148,2.91037798,0.0644247979,-4.93687534,0.204238847,-5.4449811,-4.24934006,-12.6564856,-1.35709453,-2.82260442,-8.57306862,2.91037679,0.0644242465,-4.93687439,0.204238728,-5.4449811,-4.24934101,-12.6564827,-1.35709703,-2.82260561
21,2,2,CORRECT,6.08e-06,-9.53099728,1.12184715,1.60285294,-0.0242760703,-1.27612472,-4.6286459,-4.13900328,-10.2761078,-0.620427787,-3.49558973,-9.53099346,1.12185025,1.60284686,-0.0242774189,-1.27612126,-4.62865019,-4.13900471,-10.2761135,-0.620426297,-3.49558997
22,1,1,CORRECT,5.7e-06,-14.4705276,3.6372683,1.87514913,-6.77683353,-3.40003824,-2.88950348,-6.08358288,-23.1910152,0.426421851,2.98702168,-14.4705219,3.63726854,1.87514865,-6.77683449,-3.40003872,-2.88950109,-6.08358479,-23.1910095,0.426422268,2.98701644
23,4,4,CORRECT,5.901e-06,-8.08337212,-0.462420285,-0.98871547,0.252265394,1.04163957,-5.5788641,-2.23068023,-9.3687048,-1.74220657,-4.26309395,-8.08337116,-0.462417603,-0.988709569,0.252262771,1.04163992,-5.57886505,-2.23068023,-9.36870861,-1.7422117,-4.26309252
24,1,1,CORRECT,5.25e-06,-6.82117605,2.36274815,-2.57941723,-0.0659003779,-0.748918772,-5.68467236,-6.37745857,-9.68664646,1.60700607,-6.73965025,-6.8211813,2.36274886,-2.57941628,-0.0658990145,-0.748916566,-5.68467379,-6.37746048,-9.68664932,1.60700488,-6.73965025
25,1,1,CORRECT,2.098e-05,-5.34851122,3.65369892,0.142369315,-2.12912679,-0.385999262,-5.94679356,-5.54634762,-8.06781006,-0.40920946,-6.65970707,-5.3485055,3.65369177,0.14236629,-2.1291225,-0.385999799,-5.94679356,-5.54634523,-8.06778908,-0.409206599,-6.65971565
26,1,1,CORRECT,3.81e-06,-8.36602306,2.41580391,1.96828449,1.42257619,-2.02741098,-6.1007309,-4.83957672,-7.37733793,-0.196459621,-6.41977024,-8.36601925,2.41580272,1.96828282,1.42257738,-2.02741146,-6.10073185,-4.83957577,-7.37733746,-0.196460217,-6.4197731
27,3,3,CORRECT,7.15e-06,-4.66815519,0.797795832,-2.15284371,1.82814789,-1.12259507,-6.27708149,-4.91011572,-3.52327752,0.844427109,-8.10936165,-4.66815472,0.797793984,-2.15284157,1.82815504,-1.1225965,-6.27708149,-4.91011477,-3.52327895,0.844423831,-8.1093626
28,3,3,CORRECT,4.77e-06,-3.13254642,-2.07321453,-4.28186035,1.79482412,0.139791384,-4.40382862,-5.53718138,-5.28963661,-0.141664773,-8.1774559,-3.13255119,-2.07321525,-4.28185892,1.79482794,0.139792413,-4.40383053,-5.53718376,-5.28963757,-0.141666919,-8.17745781
29,3,3,CORRECT,1.621e-05,-6.44772291,2.14800453,-1.63717806,3.70374846,-0.153036103,-7.61759567,-5.61365032,-9.17002678,0.242194623,-5.53286457,-6.44773149,2.14800406,-1.6371758,3.70375156,-0.153032199,-7.61760092,-5.61365223,-9.17004299,0.242189124,-5.53286076
30,1,1,CORRECT,1.24e-05,-6.11015511,3.95844126,-1.66878808,-2.20829844,-0.777979672,-6.69460297,-5.91885948,-10.3595114,1.92504227,-5.85827684,-6.11014748,3.95843601,-1.66879201,-2.20829415,-0.777977705,-6.69460583,-5.91886139,-10.359499,1.92504311,-5.85828352
31,8,8,CORRECT,8.59e-06,-8.70343494,0.796521127,-2.91807604,2.22568941,-1.23022485,-5.63392258,-5.98599434,-10.5827627,2.89492464,-2.87086535,-8.70344353,0.796518385,-2.91807413,2.22569346,-1.23022377,-5.6339221,-5.98599815,-10.5827665,2.89492273,-2.87086034
32,2,2,CORRECT,4.29e-06,-8.2940073,-0.535462201,2.57305765,-2.82607269,-0.686406255,-2.51083136,-4.45791626,-6.30493546,-0.785714686,-7.31965733,-8.29400635,-0.535466194,2.57305717,-2.82607698,-0.686406851,-2.5108304,-4.45791292,-6.30493402,-0.785711944,-7.31966114
33,1,1,CORRECT,6.67e-06,-4.28316593,3.93871164,-0.42917484,-2.70000434,-0.850156844,-6.22552156,-5.59082079,-9.22590542,0.808388591,-7.29026127,-4.28316164,3.93871188,-0.429174304,-2.70001101,-0.850158036,-6.22551823,-5.59081936,-9.22591114,0.808390021,-7.29026127
34,8,8,CORRECT,3.34e-06,-9.79158878,-0.370542705,-2.62206984,-6.13363457,-1.96221757,-2.99427629,-2.49459338,-4.29756212,4.34865999,-5.44605875,-9.79158878,-0.370539546,-2.62206841,-6.13363123,-1.96221638,-2.99427772,-2.49459672,-4.29755926,4.34865952,-5.44605589
35,1,1,CORRECT,5.7e-06,-9.07747936,3.96406889,-0.66190213,-4.77638912,-2.86082792,-5.00738096,-6.44380665,-17.8337574,3.21385288,-6.1797924,-9.07748413,3.96407008,-0.661899447,-4.77638578,-2.86082864,-5.00738478,-6.44380617,-17.8337631,3.21385169,-6.17978954
36,8,8,CORRECT,3.82e-06,-8.09434605,2.17986774,-2.45122123,-2.46040535,-2.16158986,-5.25798607,-5.83331013,-8.55106735,3.61080432,-3.70768571,-8.094347,2.17986894,-2.45122385,-2.46040583,-2.16158819,-5.2579875,-5.83331203,-8.55107117,3.61080694,-3.70768356
37,2,2,CORRECT,6.7e-06,-8.81099796,0.794249952,1.99490345,-1.66049922,-1.11493564,-5.36754417,-3.26710582,-10.0706644,-1.61772418,-6.1984787,-8.81099319,0.794249773,1.99490237,-1.66050446,-1.11493683,-5.36753845,-3.26710486,-10.0706711,-1.6177243,-6.19847393
38,1,1,CORRECT,1.04e-05,-8.4707365,5.43863869,-0.259387076,-0.866095245,-2.09403968,-6.31580114,-7.09108639,-12.1172667,1.9920727,-4.56372595,-8.47074318,5.43864059,-0.259384394,-0.866095901,-2.09403706,-6.31580162,-7.09108925,-12.1172771,1.99206877,-4.56371975
39,8,8,CORRECT,6.91e-06,-4.32572412,3.00233841,-2.18817639,-1.77573979,-2.24546003,-7.01751089,-5.7401166,-7.08818293,3.71339369,-9.04581451,-4.32572412,3.00234532,-2.18817258,-1.77573943,-2.24545908,-7.01751328,-5.74011946,-7.08818769,3.71339035,-9.04581451
40,1,1,CORRECT,8.226e-06,-9.34069729,3.39056587,1.24131763,0.604822397,-2.28734183,-5.53952265,-6.43370819,-10.3880901,1.09259129,-5.18918753,-9.34069633,3.39056802,1.24131751,0.604830623,-2.28734016,-5.53952551,-6.43371201,-10.3880863,1.09258783,-5.18918943
41,1,1,CORRECT,3.34e-06,-7.24783611,3.4168334,0.0889361352,0.000582642853,-0.555933058,-7.16966534,-7.70518827,-9.86428738,-1.00879538,-6.80412436,-7.24783659,3.41683412,0.0889336169,0.000585317612,-0.555929899,-7.16966677,-7.70519161,-9.86429024,-1.00879848,-6.80412197
42,3,3,CORRECT,1.055e-05,-6.24839497,-1.0508883,-1.29513156,0.663641155,-0.64659965,-5.84028625,-3.35817599,-2.71525288,-1.44479263,-8.36665726,-6.24839449,-1.05088723,-1.29513359,0.663651705,-0.646598279,-5.84028673,-3.35818338,-2.71524572,-1.44478977,-8.36665726
43,1,1,CORRECT,4.53e-06,-9.03245449,2.33312368,-1.98678958,-1.27140403,0.495072901,-7.39659166,-6.17627716,-7.74760056,0.661487281,-7.51182413,-9.03245068,2.33311963,-1.98679411,-1.27140212,0.495075941,-7.39659214,-6.17627907,-7.74759674,0.661484659,-7.51182795
44,1,1,CORRECT,1.049e-05,-9.37849426,4.41877365,2.05809593,-2.8157053,-1.07776821,-7.32814026,-5.22755766,-9.55425358,-0.456730872,-7.23529243,-9.37849236,4.41877747,2.05809784,-2.81570339,-1.07777023,-7.32814217,-5.22755909,-9.55426407,-0.4567312,-7.23529339
45,2,2,CORRECT,5.96e-06,-11.8278742,1.46767294,5.96235561,3.36732006,-1.52572644,-6.99093151,-6.39275789,-14.0615759,-3.72347426,-6.32845354,-11.8278732,1.46767247,5.96235228,3.36732602,-1.52572346,-6.9909339,-6.39276266,-14.0615711,-3.72347713,-6.32845545
46,1,1,CORRECT,6.7e-06,-10.0219221,2.12059879,1.9131726,-2.44702029,-1.665784,-4.45102024,-3.43650031,-13.0306225,0.532919645,-1.97610188,-10.0219221,2.12059569,1.91317475,-2.44701576,-1.665784,-4.45102024,-3.43649936,-13.0306158,0.532918453,-1.97610474
47,1,1,CORRECT,9.5e-06,-13.4577818,6.09713221,0.105926439,-2.09758806,-3.78278399,-6.37823057,-8.40692425,-21.8886013,2.06327963,-0.566773355,-13.4577723,6.09713793,0.105923176,-2.09758234,-3.78277946,-6.37823343,-8.40692997,-21.8885937,2.06327915,-0.56677711
48,3,3,CORRECT,1.049e-05,-7.88596439,0.572701454,1.34202385,3.33769822,0.0402638465,-4.43032455,-5.93417454,-9.92483521,-1.69604373,-2.64706016,-7.88597393,0.572706401,1.3420341,3.33769798,0.0402619839,-4.43032503,-5.93417931,-9.9248457,-1.69604766,-2.64705706
49,8,8,CORRECT,9.5e-06,-11.441678,1.81869566,0.00952629745,-7.39272022,-2.90987515,-3.94489479,-3.26836252,-16.5117073,3.0947504,-0.988021076,-11.4416714,1.81869495,0.00952675939,-7.39271593,-2.90987611,-3.94489455,-3.26836276,-16.5116978,3.09474993,-0.988028109
