sample_id,pytorch_pred,c_pred,classification_match,max_abs_err,pt_logit_0,pt_logit_1,pt_logit_2,pt_logit_3,pt_logit_4,pt_logit_5,pt_logit_6,pt_logit_7,pt_logit_8,pt_logit_9,c_logit_0,c_logit_1,c_logit_2,c_logit_3,c_logit_4,c_logit_5,c_logit_6,c_logit_7,c_logit_8,c_logit_9
11,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
12,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
13,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
14,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
15,9,9,CORRECT,3.242e-05,-17.389452,-3.50342679,-1.80005682,-11.5376282,-3.2753377,-2.31759143,-10.3420591,-9.48724365,-6.47029591,-1.10780275,-17.3894749,-3.50342512,-1.80005991,-11.5376005,-3.27533031,-2.31760406,-10.342063,-9.48721123,-6.47029209,-1.10780156
16,5,5,CORRECT,3.52e-05,-14.8576756,-7.40466356,-6.92014122,-10.6377239,-2.9446764,4.40918207,-10.2354403,-5.11811352,-6.04076719,-1.14770389,-14.8577108,-7.40466166,-6.92013693,-10.6377163,-2.94468236,4.40917635,-10.2354565,-5.11809111,-6.04077291,-1.14769983
17,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
18,9,9,CORRECT,2.48e-05,-11.4450874,-2.43066406,-0.234273702,-7.13798285,-0.311541289,-4.66053867,-6.342206,-10.0397863,-8.03869343,1.02972627,-11.4451017,-2.4306643,-0.234279364,-7.137959,-0.31153971,-4.66054726,-6.34220886,-10.0397615,-8.03868484,1.02972937
19,2,2,CORRECT,3.004e-05,-7.78638744,-0.778159678,0.611241937,-7.08993864,-4.00564909,-6.03011131,-0.935610533,-6.42193031,-1.81617558,-3.83351064,-7.78639507,-0.77815938,0.611238837,-7.0899086,-4.00564003,-6.0301199,-0.935616374,-6.42191315,-1.81617701,-3.83350825
20,9,9,CORRECT,2.527e-05,-11.8398514,-0.413588881,0.387512773,-6.0288887,-1.88624156,-4.99272919,-7.49739885,-8.63405418,-7.46294594,0.593102396,-11.83986,-0.41358611,0.387507945,-6.02886343,-1.8862375,-4.9927392,-7.49739933,-8.63403225,-7.46293163,0.593099713
21,6,6,CORRECT,9.54e-06,-3.58119297,-5.37871122,-3.30119658,-6.82904053,-0.00777497143,0.19406566,1.29517579,-5.12687778,0.0512746014,-3.0522728,-3.58119941,-5.37870932,-3.30119348,-6.82903099,-0.0077727586,0.194060594,1.29517567,-5.12687874,0.0512793437,-3.05227757
22,6,6,CORRECT,9.53e-06,-8.36784172,-0.72053498,0.719318092,-5.16446161,-0.0605021194,-4.97927952,1.11473978,-4.98728752,-3.4492321,-3.10419583,-8.36784649,-0.720537364,0.719314337,-5.16445208,-0.0605010986,-4.97928476,1.1147337,-4.9872818,-3.44923377,-3.10419559
23,2,2,CORRECT,1.263e-05,-3.52290273,-0.365993768,-0.200933278,-3.35475969,-2.70865965,-1.38461745,-3.10660839,-2.84263778,-0.852715433,-2.79699898,-3.52290845,-0.365989476,-0.200933188,-3.35474706,-2.70865512,-1.38462186,-3.10660863,-2.84263968,-0.85271126,-2.79700589
24,9,9,CORRECT,3.051e-05,-15.9029121,-4.34705448,-4.64925432,-8.91817665,-1.96409893,-1.89084208,-12.559104,-8.64076614,-9.61806297,1.86578357,-15.9029408,-4.3470521,-4.64926147,-8.91815567,-1.96409488,-1.89085352,-12.5591106,-8.64073563,-9.61804867,1.86578357
25,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
26,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
27,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
28,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
29,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
30,1,1,CORRECT,1.859e-05,-9.13286209,-0.640848279,-1.10530365,-6.96457815,-3.92922401,-5.06588888,-4.17986059,-4.5450511,-3.46335292,-0.821378589,-9.132864,-0.640846372,-1.10530281,-6.96455956,-3.92921734,-5.06589603,-4.17985296,-4.54504013,-3.46334815,-0.821380854
31,4,4,CORRECT,2.96e-05,-22.5745201,-3.11257315,-6.20632553,-15.9409332,0.426391453,-2.3834846,-11.0886793,-15.5902157,-3.93260455,-3.48703289,-22.5745411,-3.11257362,-6.20632458,-15.9409151,0.42639178,-2.38348269,-11.0886889,-15.5901861,-3.9326086,-3.48702884
32,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
33,9,9,CORRECT,1.574e-05,-9.26205349,-3.19928837,-1.37304556,-6.06064034,-0.0941488966,-3.17697239,-4.59968996,-8.54030991,-6.53245258,1.20929444,-9.26206875,-3.19928622,-1.37304735,-6.0606246,-0.0941476077,-3.17698312,-4.59969187,-8.5402956,-6.53244591,1.20929325
34,5,5,CORRECT,2.766e-05,-19.0495129,-7.66353655,-9.25736904,-11.9116573,-1.32742178,1.66964507,-13.3345747,-7.34027386,-7.80932188,-0.676660836,-19.0495396,-7.66353607,-9.25736332,-11.9116421,-1.3274256,1.66963947,-13.3345881,-7.3402462,-7.80933332,-0.676653028
35,2,2,CORRECT,1.431e-05,-5.04777527,-0.0376684032,0.545192599,-6.33499575,0.383999377,-3.94894648,-0.375045478,-8.77898407,-2.84248495,-2.04085088,-5.04777718,-0.0376693271,0.545190156,-6.33498144,0.384000093,-3.94895315,-0.375046223,-8.77897549,-2.84247971,-2.04085088
36,9,9,CORRECT,1.907e-05,-12.803113,-1.02186465,-0.179004341,-5.72892666,0.279326767,-7.37126827,-6.35112524,-11.3247108,-7.77843523,0.38267827,-12.8031158,-1.02186489,-0.179007709,-5.72890759,0.279326975,-7.37127304,-6.35112429,-11.3246927,-7.77842331,0.382676184
37,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
38,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
39,9,9,CORRECT,3.24e-05,-21.1444168,-10.3044949,-6.06318665,-21.5665321,1.92215502,-3.74364138,-8.39760876,-25.6499367,-8.54953766,2.45094204,-21.144434,-10.3044987,-6.06318855,-21.5664997,1.92216671,-3.74363947,-8.39760876,-25.6499138,-8.54953289,2.45094585
40,6,6,CORRECT,1.812e-05,-10.0651207,-1.22969532,-0.153088123,-8.63631916,-3.16996956,-4.62129545,2.58698392,-2.77297783,-1.00150251,-5.1876173,-10.0651264,-1.22969544,-0.153087795,-8.63630104,-3.16996694,-4.62129879,2.58697391,-2.77296519,-1.00151038,-5.18761539
41,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
42,5,5,CORRECT,1.335e-05,-7.3577137,-1.2049861,-2.67457128,-5.3506732,-1.27850115,-0.274565965,-4.96174669,-3.77770233,-0.5784024,-1.52255237,-7.35771513,-1.20498359,-2.67456722,-5.35065985,-1.27849936,-0.274570405,-4.96174097,-3.77770567,-0.578394473,-1.52256036
43,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
44,6,6,CORRECT,8.58e-06,-6.09780312,0.830752432,0.523234844,-6.90185308,-0.578241944,-4.7901001,2.55679703,-6.09578228,-0.348927349,-4.50362253,-6.09780502,0.83075124,0.523232996,-6.9018445,-0.57824111,-4.79010248,2.55679512,-6.09577799,-0.348926634,-4.5036211
45,5,5,CORRECT,3.24e-05,-18.7069111,-7.96769285,-7.54171085,-12.8800831,-4.51874399,4.68021297,-14.6400309,-5.48981905,-8.23526192,0.123057641,-18.7069435,-7.96769476,-7.54170656,-12.8800726,-4.51874781,4.68020725,-14.640049,-5.48979282,-8.23527813,0.123061463
46,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
47,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
48,4,4,CORRECT,9.4771e-06,-8.25378323,-5.86112785,-5.05791664,-6.1852169,1.07178319,0.0270837247,-4.24558258,-4.6659174,-3.79163933,0.698135912,-8.25378609,-5.86112356,-5.05791092,-6.18521023,1.07178569,0.0270742476,-4.2455821,-4.66592455,-3.79163766,0.698133945
49,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
