timestamp,sample_id,source,pred,target,correct,inf_ms,raw
1775171422.6568513,23,rpi,0,0,1,20.485,sample_23 src=rpi pred=0 target=0 inf_ms=20.485 logits=
1775171422.6868513,24,arduino,2,1,0,12.991,sample_24 src=arduino pred=2 target=1 inf_ms=12.991 logits=
1775171422.7168512,24,rpi,1,1,1,29.624,sample_24 src=rpi pred=1 target=1 inf_ms=29.624 logits=
1775171422.7468512,25,arduino,1,2,0,12.156,sample_25 src=arduino pred=1 target=2 inf_ms=12.156 logits=
1775171422.7768512,25,rpi,0,2,0,32.621,sample_25 src=rpi pred=0 target=2 inf_ms=32.621 logits=
1775171422.8068511,26,arduino,1,0,0,11.696,sample_26 src=arduino pred=1 target=0 inf_ms=11.696 logits=
1775171422.8368511,26,rpi,0,0,1,36.467,sample_26 src=rpi pred=0 target=0 inf_ms=36.467 logits=
1775171422.866851,27,arduino,0,0,1,9.271,sample_27 src=arduino pred=0 target=0 inf_ms=9.271 logits=
1775171422.896851,27,rpi,0,0,1,29.613,sample_27 src=rpi pred=0 target=0 inf_ms=29.613 logits=
1775171422.926851,28,arduino,1,1,1,13.946,sample_28 src=arduino pred=1 target=1 inf_ms=13.946 logits=
1775171422.956851,28,rpi,1,1,1,27.490,sample_28 src=rpi pred=1 target=1 inf_ms=27.490 logits=
1775171422.986851,29,arduino,1,1,1,11.339,sample_29 src=arduino pred=1 target=1 inf_ms=11.339 logits=
1775171423.016851,29,rpi,1,1,1,18.273,sample_29 src=rpi pred=1 target=1 inf_ms=18.273 logits=
1775171423.046851,30,arduino,0,0,1,16.279,sample_30 src=arduino pred=0 target=0 inf_ms=16.279 logits=
1775171423.076851,30,rpi,1,0,0,19.276,sample_30 src=rpi pred=1 target=0 inf_ms=19.276 logits=
1775171423.1068509,31,arduino,1,1,1,8.139,sample_31 src=arduino pred=1 target=1 inf_ms=8.139 logits=
1775171423.1368508,31,rpi,1,1,1,34.803,sample_31 src=rpi pred=1 target=1 inf_ms=34.803 logits=
1775171423.1668508,32,arduino,0,2,0,16.577,sample_32 src=arduino pred=0 target=2 inf_ms=16.577 logits=
1775171423.1968508,32,rpi,2,2,1,20.178,sample_32 src=rpi pred=2 target=2 inf_ms=20.178 logits=
1775171423.2268507,33,arduino,2,1,0,13.987,sample_33 src=arduino pred=2 target=1 inf_ms=13.987 logits=
1775171423.2568507,33,rpi,2,1,0,38.027,sample_33 src=rpi pred=2 target=1 inf_ms=38.027 logits=
1775171423.2868507,34,arduino,1,1,1,18.010,sample_34 src=arduino pred=1 target=1 inf_ms=18.010 logits=
1775171423.3168507,34,rpi,1,1,1,35.969,sample_34 src=rpi pred=1 target=1 inf_ms=35.969 logits=
1775171423.3468506,35,arduino,2,2,1,12.333,sample_35 src=arduino pred=2 target=2 inf_ms=12.333 logits=
1775171423.3768506,35,rpi,2,2,1,36.446,sample_35 src=rpi pred=2 target=2 inf_ms=36.446 logits=
1775171423.4068506,36,arduino,2,2,1,11.880,sample_36 src=arduino pred=2 target=2 inf_ms=11.880 logits=
1775171423.4368505,36,rpi,2,2,1,20.347,sample_36 src=rpi pred=2 target=2 inf_ms=20.347 logits=
1775171423.4668505,37,arduino,1,1,1,7.682,sample_37 src=arduino pred=1 target=1 inf_ms=7.682 logits=
1775171423.4968505,37,rpi,1,1,1,36.936,sample_37 src=rpi pred=1 target=1 inf_ms=36.936 logits=
1775171423.5268505,38,arduino,2,2,1,9.149,sample_38 src=arduino pred=2 target=2 inf_ms=9.149 logits=
1775171423.5568504,38,rpi,2,2,1,22.698,sample_38 src=rpi pred=2 target=2 inf_ms=22.698 logits=
1775171423.5868504,39,arduino,1,1,1,12.576,sample_39 src=arduino pred=1 target=1 inf_ms=12.576 logits=
1775171423.6168504,39,rpi,1,1,1,32.070,sample_39 src=rpi pred=1 target=1 inf_ms=32.070 logits=
1775171423.6468503,40,arduino,2,2,1,13.214,sample_40 src=arduino pred=2 target=2 inf_ms=13.214 logits=
1775171423.6768503,40,rpi,2,2,1,22.032,sample_40 src=rpi pred=2 target=2 inf_ms=22.032 logits=
1775171423.7068503,41,arduino,1,1,1,9.679,sample_41 src=arduino pred=1 target=1 inf_ms=9.679 logits=
1775171423.7368503,41,rpi,1,1,1,27.972,sample_41 src=rpi pred=1 target=1 inf_ms=27.972 logits=
1775171423.7668502,42,arduino,2,1,0,13.168,sample_42 src=arduino pred=2 target=1 inf_ms=13.168 logits=
1775171423.7968502,42,rpi,1,1,1,15.707,sample_42 src=rpi pred=1 target=1 inf_ms=15.707 logits=
1775171423.8268502,43,arduino,1,1,1,17.392,sample_43 src=arduino pred=1 target=1 inf_ms=17.392 logits=
1775171423.8568501,43,rpi,1,1,1,15.673,sample_43 src=rpi pred=1 target=1 inf_ms=15.673 logits=
1775171423.88685,44,arduino,2,0,0,8.820,sample_44 src=arduino pred=2 target=0 inf_ms=8.820 logits=
1775171423.91685,44,rpi,0,0,1,37.634,sample_44 src=rpi pred=0 target=0 inf_ms=37.634 logits=
1775171423.94685,45,arduino,2,2,1,10.882,sample_45 src=arduino pred=2 target=2 inf_ms=10.882 logits=
1775171423.97685,45,rpi,1,2,0,32.151,sample_45 src=rpi pred=1 target=2 inf_ms=32.151 logits=
1775171424.00685,46,arduino,0,0,1,14.313,sample_46 src=arduino pred=0 target=0 inf_ms=14.313 logits=
1775171424.03685,46,rpi,2,0,0,27.729,sample_46 src=rpi pred=2 target=0 inf_ms=27.729 logits=
1775171424.06685,47,arduino,1,1,1,16.017,sample_47 src=arduino pred=1 target=1 inf_ms=16.017 logits=
1775171424.09685,47,rpi,1,1,1,20.100,sample_47 src=rpi pred=1 target=1 inf_ms=20.100 logits=
1775171424.12685,48,arduino,1,1,1,10.478,sample_48 src=arduino pred=1 target=1 inf_ms=10.478 logits=
1775171424.1568499,48,rpi,2,1,0,33.992,sample_48 src=rpi pred=2 target=1 inf_ms=33.992 logits=
1775171424.1868498,49,arduino,0,0,1,17.714,sample_49 src=arduino pred=0 target=0 inf_ms=17.714 logits=
1775171424.2168498,49,rpi,0,0,1,21.429,sample_49 src=rpi pred=0 target=0 inf_ms=21.429 logits=
